"locale_id","city","state","temperature","feels_like"
3871,"João Ramalho","SP","23.0","23.0"
3876,"Jumirim","SP","21.0","21.0"
3860,"Tapiramutá","BA","22.0","22.0"
3879,"Juqueí","SP","21.0","21.0"
3877,"Jundiaí","SP","20.0","20.0"
3862,"Jardinópolis","SP","25.0","25.0"
3882,"Juquitiba","SP","18.0","18.0"
3865,"Hidrolândia","GO","25.0","25.0"
3863,"Hidrolândia","BA","24.0","24.0"
3880,"Juquiá","SP","22.0","22.0"
3884,"Padre Bernardo","GO","24.0","24.0"
3885,"Dores Do Indaiá","MG","22.0","20.0"
3872,"Joaquim Egídio","SP","22.0","22.0"
3889,"Antônio Carlos","MG","20.0","20.0"
3874,"Júlio Mesquita","SP","22.0","22.0"
3890,"Bom Jesus Do Amparo","MG","21.0","21.0"
3893,"Catas Altas","MG","17.0","16.0"
3887,"São João Do Jacutinga","MG","22.0","22.0"
3894,"Ribeirão Vermelho","MG","22.0","22.0"
3878,"Junqueirópolis","SP","27.0","27.0"
3875,"Guia Lopes Da Laguna","MS","28.0","29.0"
3897,"São João Evangelista","MG","21.0","21.0"
3895,"Santana Dos Montes","MG","21.0","21.0"
3888,"Aiuruoca","MG","20.0","20.0"
3899,"Laranjal Paulista","SP","22.0","20.0"
3886,"Tocos Do Moji","MG","19.0","19.0"
3898,"Lagoinha","SP","19.0","19.0"
3881,"Juquiratiba","SP","21.0","21.0"
3902,"Leme","SP","23.0","23.0"
3901,"Lavrinhas","SP","21.0","21.0"
3905,"Lindóia","SP","22.0","22.0"
3904,"Limeira","SP","23.0","23.0"
3883,"Ituaçu","BA","23.0","23.0"
3908,"Lourdes","SP","24.0","24.0"
3909,"Irajuba","BA","24.0","24.0"
3910,"Pintadas","BA","26.0","27.0"
3892,"Cachoeira De Pajeú","MG","21.0","21.0"
3911,"Louveira","SP","20.0","20.0"
3891,"Brás Pires","MG","21.0","21.0"
3896,"Setubinha","MG","22.0","22.0"
3900,"Lavínia","SP","25.0","25.0"
3920,"Macatuba","SP","23.0","23.0"
3917,"Lupércio","SP","21.0","21.0"
3903,"Lençóis Paulista","SP","22.0","22.0"
3919,"Lutécia","SP","22.0","22.0"
3921,"Ibiquera","BA","23.0","23.0"
3923,"Macedônia","SP","27.0","27.0"
3906,"Lins","SP","22.0","22.0"
3922,"Macaubal","SP","25.0","25.0"
3907,"Lorena","SP","21.0","21.0"
3925,"Mairinque","SP","20.0","20.0"
