"locale_id","city","state","temperature","feels_like","latitude","longitude"
3469,"Tocantínia","TO","24.0","24.0","-9.6","-48.4"
3470,"Tocantinópolis","TO","25.0","25.0","-6.3","-47.4"
3472,"Tupiratins","TO","24.0","24.0","-8.4","-48.1"
3474,"Xambioá","TO","26.0","28.0","-6.4","-48.5"
3471,"Tupirama","TO","23.0","23.0","-9.0","-48.2"
3476,"São Miguel Arcanjo","SP","20.0","20.0","-23.9","-48.0"
3475,"São Manuel","SP","21.0","21.0","-22.7","-48.6"
3480,"São Roque","SP","19.0","19.0","-23.5","-47.1"
3481,"São Sebastião Da Grama","SP","22.0","22.0","-21.7","-46.8"
3473,"Wanderlândia","TO","26.0","27.0","-6.8","-48.0"
3478,"São Pedro Do Turvo","SP","24.0","24.0","-22.7","-49.7"
3482,"São Sebastião","SP","20.0","20.0","-23.8","-45.4"
3479,"São Pedro","SP","20.0","20.0","-22.5","-47.9"
3483,"São Simão","SP","23.0","23.0","-21.5","-47.6"
3489,"Serrana","SP","24.0","24.0","-21.2","-47.6"
3485,"Sarapuí","SP","21.0","21.0","-23.6","-47.8"
3484,"São Vicente","SP","23.0","23.0","-24.0","-46.4"
3487,"Sebastianópolis Do Sul","SP","26.0","27.0","-20.7","-49.9"
3486,"Sarutaiá","SP","22.0","22.0","-23.3","-49.5"
3488,"Serra Azul","SP","24.0","24.0","-21.3","-47.6"
3490,"Serra Negra","SP","20.0","20.0","-22.6","-46.7"
3494,"Silveiras","SP","21.0","21.0","-22.7","-44.9"
3493,"Severínia","SP","23.0","23.0","-20.8","-48.8"
3492,"Sete Barras","SP","23.0","23.0","-24.4","-47.9"
3495,"Socorro","SP","20.0","20.0","-22.6","-46.5"
3491,"Sertãozinho","SP","25.0","25.0","-21.1","-48.0"
3497,"Sousas","SP","22.0","22.0","-22.9","-47.0"
3498,"Sud Mennucci","SP","25.0","25.0","-20.7","-50.9"
3496,"Sorocaba","SP","21.0","21.0","-23.5","-47.5"
3499,"Sumaré","SP","23.0","23.0","-22.8","-47.3"
3501,"Suzano","SP","19.0","19.0","-23.5","-46.3"
3500,"Suzanápolis","SP","25.0","25.0","-20.5","-51.0"
3506,"Taguaí","SP","22.0","22.0","-23.5","-49.4"
3505,"Taciba","SP","24.0","24.0","-22.4","-51.3"
3507,"Taiaçu","SP","23.0","23.0","-21.1","-48.5"
3502,"Tabapuã","SP","22.0","22.0","-21.0","-49.0"
3510,"Tamboré","SP","21.0","21.0","-23.5","-46.8"
3508,"Taiúva","SP","24.0","24.0","-21.1","-48.5"
